Smiles,Scores,chembl_id,chembl_pref_name
C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,0.5769230769230769,CHEMBL540701,None
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCCCC2)C(=O)CO4)c1,0.576271186440678,CHEMBL3774396,None
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,0.5740740740740741,CHEMBL591039,None
COc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cc1,0.5740740740740741,CHEMBL353901,None
CCOc1cc2ncnc(Nc3ccc(OCc4ccccc4F)c(Cl)c3)c2cc1OCC,0.5714285714285714,CHEMBL535563,None
CCOc1cc2ncnc(Nc3cc(Cl)c(Cl)c(Cl)c3)c2cc1OCC,0.5714285714285714,CHEMBL580582,None
COc1cc2c(Nc3cccc4c3OCC4)ncnc2cc1OCCCN1CCOCC1,0.5689655172413793,CHEMBL171373,None
COc1cc2ncnc(Nc3ccc(N(CCCl)CCCl)cc3)c2cc1OC,0.5686274509803921,CHEMBL3039689,None
COCCOc1cc2ncnc(Nc3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)c(OC)c3)c2cc1OCCOC,0.5666666666666667,CHEMBL3763757,None
N#Cc1cccc(Nc2ncnc3ccccc23)c1,0.5652173913043478,CHEMBL3092492,None
COc1ccc(Nc2ncnc3ccccc23)cc1,0.5652173913043478,CHEMBL1616345,None
COc1ccc(Nc2ncnc3sccc23)cc1,0.5652173913043478,CHEMBL1471168,None
Cl.c1cc(Nc2ncnc3cc4c(cc23)OCCO4)cc(-c2ccc[nH]2)c1,0.5636363636363636,CHEMBL3297959,None
CCOc1cc2ncnc(Nc3cccc(-c4csc(OC)n4)c3)c2cc1OCC,0.5636363636363636,CHEMBL127673,None
COc1ccc(Nc2ncnc3ccc(C)cc23)cc1,0.5625,CHEMBL1528507,None
COc1cc2ncnc(Nc3cc(OC)c(OC(C)(C)C)c(OC)c3)c2cc1OC,0.5625,CHEMBL444324,None
CCOc1cc2ncnc(Nc3cccc(-c4csc(Cc5ccccc5)n4)c3)c2cc1OCC,0.5614035087719298,CHEMBL126890,None
CCOC(=O)c1cccc(Nc2ncnc3ccccc23)c1,0.56,CHEMBL1625522,None
COc1cc2c(Nc3ccc(B(O)O)cc3)ncnc2c(OC)c1OC,0.56,CHEMBL4129235,None
COc1cc2ncnc(Nc3ccccc3N(CCCl)CCCl)c2cc1OC.Cl,0.5576923076923077,CHEMBL2417992,None
COc1cc2ncnc(Nc3ccccc3N(CCCl)CCCl)c2cc1OC,0.5576923076923077,CHEMBL3040816,None
CNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,0.5555555555555556,CHEMBL293090,None
Cc1cccc(Nc2ncnc3ccccc23)c1,0.5555555555555556,CHEMBL441083,None
CCOc1cc2ncnc(Nc3cccc(-c4cocn4)c3)c2cc1OCC,0.5555555555555556,CHEMBL126996,None
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,0.5535714285714286,CHEMBL2070192,None
COc1cccc(Nc2ncnc3sc(C)cc23)c1,0.5510204081632653,CHEMBL1625561,None
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCC(=O)NO)cc23)c1,0.55,CHEMBL3939206,None
COc1ccc2c(c1)sc1c(Nc3ccc4c(c3)OCCO4)ncnc12,0.5490196078431373,CHEMBL2313912,None
Cl.Fc1cc(Br)ccc1Nc1ncnc2cc3c(cc12)OCCCO3,0.5490196078431373,CHEMBL601675,None
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,0.5483870967741935,CHEMBL3114700,None
Fc1ccc(Nc2ncnc3cc(OCCN4CCOCC4)c(OCCN4CCOCC4)cc23)cc1Cl,0.5454545454545454,CHEMBL4172592,None
CCOc1cc2ncnc(Nc3cccc(-c4nc(C)cs4)c3)c2cc1OCC,0.5454545454545454,CHEMBL129592,None
COc1cc2ncnc(Nc3ccc(CS(=O)(=O)/C=C/c4ccc(Br)cc4)cc3)c2cc1OC,0.543859649122807,CHEMBL159601,None
COc1cc2c(Nc3ccc4c(c3)OCO4)ncnc2cc1OCCCN1CCOCC1,0.543859649122807,CHEMBL169725,None
C/C=C/c1ccc(Nc2ncnc3ccc(OCCN4CCOCC4)cc23)cc1,0.543859649122807,CHEMBL4205186,None
COc1ccc(Nc2ncnc3occ(C)c23)cc1,0.5416666666666666,CHEMBL4245874,None
COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1.Cl,0.5416666666666666,CHEMBL542729,None
COCCOc1cc2ncnc(NC3=CC(=O)C(OCC#Cc4ccccc4)=CC3=O)c2cc1OC,0.5409836065573771,CHEMBL3706837,None
COc1cc2c(Nc3ccc(C)c(Br)c3)ncnc2cc1OCC1CN(C)CCO1,0.5409836065573771,CHEMBL3916225,None
COc1cc2ncnc(Nc3ccc(I)cc3Cl)c2cc1OC,0.54,CHEMBL151418,None
c1ccc2c(c1)oc1c(Nc3ccc4c(c3)OCCO4)ncnc12,0.54,CHEMBL1622569,None
COc1cc2ncnc(Nc3cncc4ccccc34)c2cc1OC,0.54,CHEMBL329867,None
COc1cc2c(Nc3cccc(NC(=O)c4ccccc4)c3)ncnc2cc1OCCCN1CCOCC1,0.5396825396825397,CHEMBL588434,None
