Smiles,chembl_id,chembl_pref_name
COc1cc(-c2ccc3ncnc(Nc4cccc(F)c4)c3c2)ccc1O,CHEMBL3661233,None
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CNC(=O)[C@H]1CCCCN1C,CHEMBL461967,None
CCOc1cc2ncnc(Nc3cc(S(=O)(=O)NC)ccc3OCC(F)(F)F)c2cc1OC,CHEMBL3814998,None
O=C(COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1)Nc1cccnc1,CHEMBL3666716,None
COc1cc2nc(N3CCC(Nc4ccc(C(=O)O)cc4)CC3)nc(Nc3ccc(C)cc3)c2cc1OC,CHEMBL142666,None
C=C=CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,CHEMBL591040,None
O=[N+]([O-])c1ccccc1-n1cc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)nn1,CHEMBL4583159,None
COc1ccc(Nc2ncnc3ccccc23)c(OC)c1.Cl,CHEMBL1497047,None
C=CCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,CHEMBL3944857,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1cc(F)cc2c1OCOC2,CHEMBL3952493,None
CNC(=O)CCN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,CHEMBL2408054,None
COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL3893363,None
c1ccc(COc2ccccc2Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1,CHEMBL4458384,None
CN1CCN(c2nc(Nc3ccccc3)c3ccccc3n2)CC1,CHEMBL515870,None
COc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1C(F)(F)F,CHEMBL4060577,None
Oc1cccc(Nc2ncnc3ccc(-c4ccccc4)cc23)c1,CHEMBL3661305,None
Cc1ccc2ncnc(Nc3ccccc3)c2c1,CHEMBL1530661,None
COc1ccc(Nc2nc(-c3cccnc3)nc3ccc(N)cc23)cc1,CHEMBL4176905,None
C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,CHEMBL3622671,None
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3O)c2cc1OC,CHEMBL593293,None
Cc1cccc(Nc2ncnc3ccc(F)cc23)c1,CHEMBL1079598,None
CN1CCN(Cc2ccc(NC(=O)Nc3ccc4ncnc(Nc5ccc(F)c(Cl)c5)c4c3)cc2)CC1,CHEMBL3739427,None
CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL3814257,None
NC(=O)c1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1,CHEMBL3770181,None
COc1cc2nc(C)nc(Nc3ccc(Cc4ccccc4)cc3)c2cc1OC.Cl,CHEMBL533205,None
CCOc1cc2ncnc(Nc3cccc(-c4nc(C(N)=O)cs4)c3)c2cc1OCC,CHEMBL126668,None
O=[N+]([O-])c1ccc(-n2cc(-c3cccc(Nc4ncnc5cc6c(cc45)OCCO6)c3)nn2)cc1,CHEMBL4562863,None
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(COC)N(C)C,CHEMBL3676379,None
COc1cc2ncnc(Nc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL573765,None
CCNC(=O)Nc1ccc(C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1,CHEMBL3633941,None
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(CN5CCOCC5)cc4)cc23)c1,CHEMBL3740987,None
O=S(=O)(Nc1nccs1)c1ccc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,CHEMBL4101774,None
CCOc1cc2nc(Cl)nc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,CHEMBL341075,None
COc1cc2ncnc(Nc3cc(O)c(Cl)cc3Cl)c2cc1OC,CHEMBL3775190,None
COc1cc2c(Nc3ccc(NC(=O)Nc4ccccc4)c(Cl)c3)ncnc2cc1OCCN1CCCCC1,CHEMBL3948354,None
COc1cccc(N(C)c2nc(Cl)nc3ccccc23)c1,CHEMBL458062,None
Cc1nc(N(C)c2ccc([Se]C#N)c(Cl)c2)c2ccccc2n1,CHEMBL4064599,None
CC(C)(C)S(=O)(=O)c1cc2c(Nc3ccc4scnc4c3)ncnc2cc1OCCOP(=O)(O)O,CHEMBL4596287,None
C[C@H](NC(=O)[C@@H](C)Oc1cc(F)ccc1Nc1ncnc2cc(N=S(C)(C)=O)cc(Cl)c12)C(F)(F)F,CHEMBL4113746,None
COc1ccc(-c2ccc3ncnc(Nc4cccc(O)c4)c3c2)cc1,CHEMBL3661243,None
COc1cc2c(Nc3ccc(F)c(F)c3)ncnc2cc1OCCOCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,CHEMBL4468893,None
COc1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL1616345,None
CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,CHEMBL2408210,None
Cc1ccccc1Nc1nc(-c2cccnc2)nc2ccccc12,CHEMBL1618148,None
CC(=O)/C=C/C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL455174,None
COc1ccc(OC)c(Nc2ncnc3ccccc23)c1.Cl,CHEMBL1487549,None
COc1cc(OC2CCN(C)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,CHEMBL203295,None
CCOc1cc(N=S2(=O)CCC2)cc2ncnc(Nc3ccc(Cl)cc3O[C@H](C)C(=O)N[C@@H](C)C#N)c12,CHEMBL3959814,None
CCOCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C.O=C(O)/C=C\C(=O)O,CHEMBL4527800,None
CCC#CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,CHEMBL3919493,None
O=C1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1,CHEMBL3622652,None
COc1cc2c(Nc3ccc(F)c(F)c3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,CHEMBL4576032,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1cscn1,CHEMBL3968322,None
CN(c1ccc(Oc2ccccc2)cc1)c1nc(Cl)nc2ccccc12,CHEMBL457613,None
C=C(Cl)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCC,CHEMBL4589070,None
CCN(CC)c1ccc(-c2csc(COc3cc4ncnc(Nc5ccc(Cl)c(Cl)c5)c4cc3OC)n2)cc1,CHEMBL3922630,None
COc1cccc(Nc2nc(-c3cccnc3)nc3ccc(N)cc23)c1,CHEMBL4169043,None
COc1cc2c(Nc3ccc4c(c3)OCO4)ncnc2cc1OCCCN1CCOCC1,CHEMBL169725,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)c(OCc4ccccc4)c3)c2cc1OC,CHEMBL527269,None
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,CHEMBL197640,None
COc1ccc2c(c1)OCCN2c1nc(C)nc2ccccc12,CHEMBL3126925,None
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5ccc(CN6CCNCC6)o5)cc34)cc2Cl)c1,CHEMBL3546966,None
Cc1ccccc1Nc1nc(Nc2ccccc2)c2ccccc2n1,CHEMBL323131,None
CCN(CC)CCCNc1nc(Nc2cc(Cl)cc(Cl)c2)c2ccccc2n1,CHEMBL28615,None
COc1cc2c(Nc3ccc(-c4nc5cc(Cl)ccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL596292,None
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H](C)NC(C)=O,CHEMBL3671552,None
COc1ccc2c(c1)OCCN2c1nc(Cl)nc2ccccc12,CHEMBL3126924,None
CN(C)CCC(=O)Nc1ccccc1-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1,CHEMBL3666741,None
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2c(OC)c1OC,CHEMBL4126565,None
O=[N+]([O-])c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,CHEMBL4543269,None
COc1cc2nc(Nc3ccc(C#N)cc3)nc(Nc3c(C)cc(/C=C/C#N)cc3C)c2cc1OC,CHEMBL4450406,None
COc1cc2c(cc1OC)CN(CCc1ccc(Nc3nc(-c4ccc5ccccc5n4)nc4ccccc34)cc1)CC2,CHEMBL4063568,None
Nc1cc(Br)ccc1NC(=O)COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL3922068,None
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(O)cc4Cl)ncnc3cc2OC)CC1,CHEMBL3914192,None
COc1cc2ncnc(Nc3ccc(I)cc3Cl)c2cc1OC,CHEMBL151418,None
Oc1cc(-c2nc(Nc3ccc4c(c3)OCO4)c3ccccc3n2)cc(O)c1O,CHEMBL1223268,None
COc1cccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(C)c(Cl)c4)cc23)c1,CHEMBL462066,None
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccc(CN6CCSCC6)o5)cc34)cc2)cc1,CHEMBL588324,None
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C(=O)CCOCCOCCOCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)(C)C)CC1,CHEMBL4455628,None
COc1cc2ncnc(Nc3cc(I)ccc3C(=O)O)c2c(OC)c1OC,CHEMBL3040137,None
c1ccc2c(Nc3nc(-c4ccncc4)nc4ccccc34)cccc2c1,CHEMBL1545274,None
CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,CHEMBL4064791,None
COc1ccc(Nc2nc(-c3cccnc3)nc3ccc(NC(=O)c4cccc([N+](=O)[O-])c4)cc23)cc1,CHEMBL4161772,None
Cc1ccc(S(=O)(=O)O)cc1.Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5ccc(CN6CCNCC6)o5)cc34)cc2Cl)c1,CHEMBL3436356,None
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL595615,None
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1c([N+](=O)[O-])cnc1C,CHEMBL3355890,None
C[C@H]1[C@H](OC(=O)CCC(=O)Oc2ccc(Nc3ncnc4ccccc34)cc2)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,CHEMBL4646960,None
CCCN(c1ccc(C)c(Br)c1)c1ncnc2cc(OC)c(OC)cc12,CHEMBL1277528,None
CS(=O)(=O)Nc1cccc(-c2nc(Nc3ccc(F)cc3)c3ccccc3n2)c1,CHEMBL1474989,None
CCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,CHEMBL3942082,None
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,CHEMBL176582,None
O=C(CSc1nc(Nc2ccc(F)c(F)c2)c2ccccc2n1)c1ccc(Cl)cc1,CHEMBL1531562,None
Cc1cc(C(C)Oc2cc(F)ccc2Nc2ncnc3cc(N=S(C)(C)=O)cc(F)c23)on1,CHEMBL3953178,None
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1ncccn1,CHEMBL4558356,None
CCN(CC)C1CCC(Nc2nc(Nc3ccc(Cl)c(Cl)c3)c3ccccc3n2)CC1,CHEMBL32022,None
O=C1N=C(N2CCC[C@H]2C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)S/C1=C/c1ccc(-c2ccccc2)cc1,CHEMBL3586189,None
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C2CC21,CHEMBL3623287,None
COc1cc(-c2ccc3ncnc(Nc4ccc(F)c(O)c4F)c3c2)ccc1O,CHEMBL3665863,None
COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,CHEMBL2386770,None
C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4nc[n+](C)c5ccc(N)cc45)cc3)cc2)cc1.Cc1ccc(S(=O)(=O)[O-])cc1.Cc1ccc(S(=O)(=O)[O-])cc1,CHEMBL3230819,None
COc1ccc(N(C)c2nc(NCCN3CCOCC3)nc3ccccc23)cc1,CHEMBL3909783,None
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL344652,None
Fc1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1,CHEMBL1473133,None
O=C(/C=C/CN1CCCC1)N1CCCOc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3cc21,CHEMBL4643903,None
CC(C)NC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL3622670,None
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)CCN1CCCCC1,CHEMBL3676367,None
CCc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,CHEMBL473998,None
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,CHEMBL3114700,None
CN(c1ccc(OCCN2CCN(Cc3ccccc3Cl)CC2)cc1)c1nc(Cl)nc2ccccc12,CHEMBL3786942,None
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN,CHEMBL3671529,None
COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCOCC1,CHEMBL3797688,None
C[Se]c1ccc(N(C)c2nc(C)nc3ccccc23)cc1F.Cl,CHEMBL4095052,None
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,None
COc1ccc2c(c1)NC(=O)CN2c1nc(Cl)nc2ccccc12,CHEMBL4083238,None
CCOc1cc2ncnc(Nc3ccc(C)c(Cl)c3)c2cc1OCC,CHEMBL303292,None
Cc1ccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc23)cc1,CHEMBL513332,None
Cc1ccc(Nc2nc(Nc3ccccc3)c3ccccc3n2)cc1,CHEMBL429053,None
CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4ccc(OC)c(OC)c4)c3c2)cnc1OC,CHEMBL4218843,None
CCCCc1nc(Cl)c(C=O)n1CCCOc1cc2c(Nc3ccc(OC)cc3)ncnc2cc1OC,CHEMBL562058,None
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCCNCCNCC1,CHEMBL4545355,None
COc1cc(Nc2ncnc3ccc(Cl)cc23)cc(OC)c1OC,CHEMBL1194235,None
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc4ncnc(Nc5cccc(C(F)(F)F)c5)c4c3)cc2)CC1,CHEMBL3742260,None
